id,user_id,completed_at,item_total,shipment_total
260448,33242,2022-08-08 16:25,37.33,2.5
260454,33244,2022-08-08 16:34,45.33,2.5
239428,18728,2022-08-08 16:41,73.94,2.5
260455,33245,2022-08-08 16:45,38.47,2.5
255084,26497,2022-08-08 16:52,27.81,6.0
260461,33250,2022-08-08 16:54,38.41,2.5
260467,33253,2022-08-08 17:27,48.1,2.5
254478,29681,2022-08-08 17:27,31.21,2.5
260468,33254,2022-08-08 17:30,37.75,2.5
260474,33257,2022-08-08 17:31,46.21,2.5
254486,116,2022-08-08 17:33,33.8,2.5
260482,33260,2022-08-08 17:48,40.76,2.5
260483,33261,2022-08-08 18:00,40.43,2.5
260493,33270,2022-08-08 19:02,43.57,2.5
260500,33275,2022-08-08 19:20,37.94,2.5
259946,8854,2022-08-08 19:36,269.89,5.5
260507,33282,2022-08-08 19:53,37.26,2.5
260506,33281,2022-08-08 19:57,39.78,2.5
233927,9255,2022-08-08 19:59,64.86,2.5
257070,31035,2022-08-08 20:06,30.98,2.5
260514,33285,2022-08-08 20:46,47.29,2.5
259019,26078,2022-08-08 21:30,71.7,2.5
260527,32997,2022-08-09 00:43,37.51,2.5
260545,801,2022-08-09 07:01,66.19,2.5
260566,3030,2022-08-09 08:15,36.97,2.5
260544,33305,2022-08-09 08:16,41.11,2.5
260573,33318,2022-08-09 08:44,37.05,2.5
144779,19399,2022-08-09 09:07,57.98,2.5
250837,22070,2022-08-09 10:13,37.09,2.5
253307,29121,2022-08-09 10:15,39.37,2.5
260603,33337,2022-08-09 11:07,38.96,2.5
260612,33343,2022-08-09 11:53,36.91,2.5
260617,33346,2022-08-09 12:04,38.4,2.5
260630,33355,2022-08-09 13:03,36.91,2.5
260643,33366,2022-08-09 14:24,42.48,2.5
260602,33336,2022-08-09 14:31,38.29,2.5
260652,33372,2022-08-09 14:58,48.46,2.5
260653,33373,2022-08-09 15:10,37.1,8.5
257722,4493,2022-08-09 15:20,27.39,6.0
260277,33132,2022-08-09 15:58,47.29,2.5
253272,209,2022-08-09 16:49,97.9,2.5
260680,33390,2022-08-09 16:54,37.52,2.5
260674,33386,2022-08-09 16:58,49.74,2.5
260685,33394,2022-08-09 17:09,39.22,2.5
257831,31576,2022-08-09 17:09,30.36,2.5
255879,30548,2022-08-09 17:17,28.73,6.0
260686,33395,2022-08-09 17:17,47.61,2.5
258727,22375,2022-08-09 17:39,29.25,6.0
260693,33401,2022-08-09 17:50,46.28,2.5
260697,33403,2022-08-09 18:04,47.22,2.5
260702,33408,2022-08-09 18:29,37.26,2.5
260708,33413,2022-08-09 19:18,36.56,2.5
12903,15952,2022-08-09 20:05,47.18,2.5
260659,33376,2022-08-09 22:50,48.95,2.5
260071,32278,2022-08-09 23:24,37.43,2.5
260737,33431,2022-08-10 00:25,36.64,2.5
260437,33233,2022-08-10 01:06,38.37,2.5
260745,33438,2022-08-10 04:11,48.54,2.5
260753,28730,2022-08-10 06:31,62.87,2.5
260754,33443,2022-08-10 06:54,31.28,2.5
260637,33360,2022-08-10 07:38,44.43,2.5
260762,33446,2022-08-10 07:58,27.1,6.0
260763,33447,2022-08-10 08:03,40.01,2.5
260769,33451,2022-08-10 08:54,46.92,2.5
260773,33454,2022-08-10 09:17,37.95,2.5
260775,33456,2022-08-10 09:30,37.4,2.5
260781,33458,2022-08-10 10:08,47.76,2.5
260784,33460,2022-08-10 10:23,46.55,2.5
256757,27087,2022-08-10 10:41,33.84,2.5
260793,33468,2022-08-10 11:05,36.5,2.5
260792,33467,2022-08-10 11:10,38.76,2.5
260813,33481,2022-08-10 11:53,45.22,2.5
260816,33484,2022-08-10 12:16,34.45,2.5
260819,33486,2022-08-10 12:18,30.47,2.5
260777,31375,2022-08-10 12:24,30.95,2.5
260823,33489,2022-08-10 12:36,48.3,2.5
260827,33494,2022-08-10 12:54,37.08,2.5
260837,33499,2022-08-10 13:12,40.76,2.5
260831,33496,2022-08-10 13:40,40.03,2.5
260855,33508,2022-08-10 14:40,53.33,2.5
260857,33509,2022-08-10 14:42,58.39,2.5
260853,33507,2022-08-10 14:50,26.2,6.0
260859,33507,2022-08-10 14:52,26.66,6.0
260861,33507,2022-08-10 14:57,26.52,6.0
260852,33506,2022-08-10 14:58,47.16,2.5
260862,33507,2022-08-10 15:00,29.0,6.0
260860,33511,2022-08-10 15:00,77.8,2.5
260864,33507,2022-08-10 15:10,27.8,6.0
260866,33507,2022-08-10 15:13,28.85,6.0
260867,33507,2022-08-10 15:16,26.92,6.0
258471,31997,2022-08-10 15:18,42.72,2.5
260870,33507,2022-08-10 15:19,29.18,6.0
260874,33515,2022-08-10 15:38,37.69,2.5
232780,9175,2022-08-10 15:55,70.1,2.5
259990,32939,2022-08-10 15:58,81.47,2.5
260883,33518,2022-08-10 16:15,45.01,2.5
257687,23974,2022-08-10 16:25,29.93,6.0
260898,25638,2022-08-10 17:15,46.96,2.5
253185,308,2022-08-10 17:25,82.81,2.5
260673,33385,2022-08-10 17:34,37.94,2.5
260906,33531,2022-08-10 17:44,39.03,2.5
260912,33534,2022-08-10 17:46,59.98,2.5
260921,33542,2022-08-10 18:20,38.19,2.5
260922,33543,2022-08-10 18:29,39.89,2.5
260930,33549,2022-08-10 19:48,48.18,2.5
260931,18551,2022-08-10 20:01,33.24,2.5
260941,33556,2022-08-10 21:11,47.23,2.5
260943,33558,2022-08-10 21:20,59.4,2.5
260916,33538,2022-08-10 21:23,36.77,2.5
260945,33560,2022-08-10 21:33,37.63,2.5
260960,33571,2022-08-11 05:33,47.05,2.5
260964,33573,2022-08-11 06:31,37.97,2.5
260970,33576,2022-08-11 07:12,46.69,2.5
260979,33578,2022-08-11 08:02,40.63,2.5
260988,33585,2022-08-11 08:46,42.23,2.5
258706,24107,2022-08-11 08:49,36.43,2.5
260312,33151,2022-08-11 08:54,47.21,2.5
240083,25985,2022-08-11 08:56,52.09,2.5
261000,33593,2022-08-11 09:02,47.82,2.5
255815,30520,2022-08-11 09:05,46.89,2.5
261008,33598,2022-08-11 09:11,50.31,2.5
261011,33601,2022-08-11 09:11,48.99,2.5
261005,33597,2022-08-11 09:11,53.67,2.5
260996,33590,2022-08-11 09:15,46.72,2.5
261014,33603,2022-08-11 09:16,71.6,2.5
255316,29549,2022-08-11 09:20,67.72,2.5
258987,288,2022-08-11 09:22,125.12,2.5
261018,33606,2022-08-11 09:22,47.07,2.5
261002,33594,2022-08-11 09:26,48.25,2.5
195167,21637,2022-08-11 09:27,58.25,2.5
261020,33608,2022-08-11 09:28,53.76,2.5
261024,33611,2022-08-11 09:30,47.29,2.5
261025,33612,2022-08-11 09:31,29.89,6.0
261028,33612,2022-08-11 09:35,28.47,6.0
261027,33614,2022-08-11 09:35,49.32,2.5
261034,33612,2022-08-11 09:37,29.87,6.0
210559,5512,2022-08-11 09:46,175.22,2.5
261037,33617,2022-08-11 09:47,57.58,2.5
234209,3369,2022-08-11 09:59,51.64,2.5
261046,33625,2022-08-11 09:59,50.16,2.5
260995,33589,2022-08-11 10:07,37.12,2.5
261052,33629,2022-08-11 10:12,37.16,2.5
261059,33632,2022-08-11 10:17,48.15,2.5
260951,33565,2022-08-11 10:28,48.08,2.5
261071,33640,2022-08-11 10:29,46.89,2.5
261083,33646,2022-08-11 10:45,46.87,2.5
261085,33648,2022-08-11 10:47,47.19,2.5
261087,33650,2022-08-11 10:48,47.36,2.5
261081,33644,2022-08-11 10:51,46.75,2.5
261091,33653,2022-08-11 10:54,42.36,2.5
261093,33655,2022-08-11 10:59,43.57,2.5
261088,33651,2022-08-11 11:09,48.15,2.5
261095,33657,2022-08-11 11:13,49.89,2.5
261100,33660,2022-08-11 11:24,38.4,2.5
261105,33662,2022-08-11 11:30,51.56,2.5
261106,33663,2022-08-11 11:31,46.66,2.5
261107,33664,2022-08-11 11:47,47.21,2.5
261112,33667,2022-08-11 11:57,47.64,2.5
261119,33673,2022-08-11 12:00,46.69,2.5
